,pathway,description,#SampleID,Abundance,Group,relative_abundance
0,1CMET2-PWY,N10-formyl-tetrahydrofolate biosynthesis,AB1,56985.91552485706,CN,0.006932489476377223
1,3-HYDROXYPHENYLACETATE-DEGRADATION-PWY,4-hydroxyphenylacetate degradation,AB1,14.062229377672557,CN,1.7107079227777689e-06
2,AEROBACTINSYN-PWY,aerobactin biosynthesis,AB1,0.0,CN,0.0
3,ALL-CHORISMATE-PWY,superpathway of chorismate metabolism,AB1,497.5602569066751,CN,6.052953985383435e-05
4,ANAEROFRUCAT-PWY,homolactic fermentation,AB1,62225.30847748199,CN,0.007569875682637852
5,ANAGLYCOLYSIS-PWY,glycolysis III (from glucose),AB1,70731.2067871249,CN,0.00860464102729592
6,ARG+POLYAMINE-SYN,superpathway of arginine and polyamine biosynthesis,AB1,12066.147810233995,CN,0.0014678792460282944
7,ARGDEG-PWY,"superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation",AB1,7.150986511496178,CN,8.699366901465093e-07
8,ARGORNPROST-PWY,"arginine, ornithine and proline interconversion",AB1,2175.1902762620134,CN,0.000264617731599431
9,ARGSYN-PWY,L-arginine biosynthesis I (via L-ornithine),AB1,34495.53789417117,CN,0.00419647471187861
10,ARGSYNBSUB-PWY,L-arginine biosynthesis II (acetyl cycle),AB1,33166.24604409776,CN,0.004034762792770314
11,ARO-PWY,chorismate biosynthesis I,AB1,51977.74511450024,CN,0.006323232112589533
12,ASPASN-PWY,superpathway of L-aspartate and L-asparagine biosynthesis,AB1,59572.83560650516,CN,0.007247195243180807
13,AST-PWY,L-arginine degradation II (AST pathway),AB1,1556.0308025054276,CN,0.000189295320851384
14,BIOTIN-BIOSYNTHESIS-PWY,biotin biosynthesis I,AB1,17901.830728399666,CN,0.0021778057260198485
15,BRANCHED-CHAIN-AA-SYN-PWY,superpathway of branched amino acid biosynthesis,AB1,50405.06025683257,CN,0.006131910781256649
16,CALVIN-PWY,Calvin-Benson-Bassham cycle,AB1,71834.5646861357,CN,0.008738867475236965
17,CATECHOL-ORTHO-CLEAVAGE-PWY,catechol degradation to &beta;-ketoadipate,AB1,4.008252600891505,CN,4.876146801962202e-07
18,CENTBENZCOA-PWY,benzoyl-CoA degradation II (anaerobic),AB1,0.0,CN,0.0
19,CENTFERM-PWY,pyruvate fermentation to butanoate,AB1,6121.731367006648,CN,0.0007447250410580886
20,CHLOROPHYLL-SYN,"chlorophyllide a biosynthesis I (aerobic, light-dependent)",AB1,2.332160651989069,CN,2.837135988467708e-07
21,COA-PWY,coenzyme A biosynthesis I,AB1,65569.00947893779,CN,0.007976645878242294
22,COBALSYN-PWY,adenosylcobalamin salvage from cobinamide I,AB1,36273.55803393163,CN,0.004412775631046954
23,CODH-PWY,reductive acetyl coenzyme A pathway,AB1,1804.8170507432096,CN,0.0002195608352664939
24,COLANSYN-PWY,colanic acid building blocks biosynthesis,AB1,41555.62158191024,CN,0.00505535282968729
25,COMPLETE-ARO-PWY,superpathway of aromatic amino acid biosynthesis,AB1,54332.25124740681,CN,0.006609664099126988
26,CRNFORCAT-PWY,creatinine degradation I,AB1,17.74033458137791,CN,2.158159286555075e-06
27,DAPLYSINESYN-PWY,L-lysine biosynthesis I,AB1,44375.78525134414,CN,0.005398433304572068
